4,k = 10,k = 20,k = 30,k = 40  
51,234520.907337,233523.144831,233155.303364,234234.813434 
52,234103.697591,233299.170287,235183.356787,236646.683673 
53,237224.956639,236667.324781,238585.320048,238042.079906 
54,242437.460365,242538.054886,242958.842505,245039.818711 
55,238015.597679,238082.664252,236165.292535,235565.710807 
56,236172.646012,235308.375203,236361.073245,235800.100947 
57,232878.375202,232896.788548,231686.162155,233913.054712 
58,232686.960239,231946.369491,231340.380359,231943.860360 
59,235510.584842,234385.442046,233969.482188,234400.776437 
60,238453.839780,238044.820992,238353.943952,239023.022899 
